station;ligne;sens;prochain;horaires;
Charpennes Charles Hernu;B;a;Brotteaux;00h04,00h09,00h14,00h19,04h50,04h55,05h00,05h05,05h10,05h15,05h19,05h24,05h29,05h34,05h39,05h44,05h49,05h54,05h56,05h59,06h02,06h06,06h09,06h12,06h15,06h18,06h21,06h24,06h28,06h31,06h34,06h37,06h40,06h43,06h46,06h49,06h53,06h56,06h59,07h02,07h05,07h08,07h12,07h14,07h18,07h20,07h24,07h29,07h31,07h33,07h35,07h37,07h39,07h41,07h43,07h45,07h47,07h49,07h51,07h53,07h55,07h57,07h59,08h01,08h03,08h05,08h07,08h09,08h11,08h13,08h15,08h17,08h19,08h21,08h23,08h25,08h27,08h30,08h32,08h34,08h36,08h38,08h40,08h42,08h44,08h46,08h48,08h50,08h52,08h54,08h56,08h58,09h00,09h02,09h04,09h06,09h08,09h10,09h12,09h14,09h16,09h18,09h20,09h22,09h24,09h26,09h28,09h31,09h33,09h35,09h37,09h39,09h41,09h45,09h47,09h49,09h53,09h55,09h57,10h01,10h04,10h07,10h09,10h12,10h15,10h18,10h20,10h23,10h26,10h29,10h31,10h34,10h37,10h39,10h42,10h45,10h48,10h50,10h53,10h56,10h58,11h01,11h04,11h07,11h09,11h12,11h15,11h17,11h20,11h23,11h26,11h28,11h31,11h34,11h36,11h39,11h42,11h45,11h47,11h50,11h53,11h55,11h58,12h01,12h04,12h06,12h09,12h12,12h14,12h17,12h20,12h23,12h25,12h28,12h31,12h33,12h36,12h39,12h42,12h44,12h47,12h50,12h52,12h55,12h58,13h01,13h03,13h06,13h09,13h11,13h14,13h17,13h20,13h22,13h25,13h28,13h30,13h33,13h36,13h39,13h41,13h44,13h47,13h49,13h52,13h55,13h58,14h00,14h03,14h06,14h08,14h11,14h14,14h17,14h19,14h22,14h25,14h27,14h30,14h33,14h36,14h38,14h41,14h44,14h46,14h49,14h52,14h55,14h57,15h00,15h03,15h05,15h08,15h11,15h14,15h16,15h19,15h22,15h25,15h27,15h30,15h33,15h35,15h38,15h42,15h44,15h48,15h50,15h52,15h56,15h58,16h00,16h02,16h04,16h06,16h08,16h10,16h12,16h14,16h16,16h18,16h20,16h22,16h24,16h26,16h28,16h30,16h32,16h34,16h36,16h38,16h40,16h42,16h45,16h47,16h49,16h51,16h53,16h55,16h57,16h59,17h01,17h03,17h05,17h07,17h09,17h11,17h13,17h15,17h17,17h19,17h21,17h23,17h25,17h27,17h29,17h31,17h33,17h35,17h37,17h39,17h41,17h43,17h46,17h48,17h50,17h52,17h54,17h56,17h58,18h00,18h02,18h04,18h06,18h08,18h10,18h12,18h14,18h16,18h18,18h20,18h22,18h24,18h26,18h28,18h30,18h32,18h34,18h36,18h38,18h40,18h42,18h44,18h46,18h49,18h51,18h53,18h55,18h57,18h59,19h01,19h03,19h05,19h07,19h09,19h11,19h13,19h15,19h17,19h19,19h21,19h23,19h25,19h27,19h29,19h31,19h33,19h35,19h37,19h39,19h41,19h43,19h45,19h47,19h49,19h52,19h54,19h56,19h58,20h00,20h02,20h04,20h06,20h08,20h10,20h12,20h14,20h16,20h18,20h20,20h24,20h26,20h30,20h32,20h36,20h39,20h42,20h45,20h48,20h51,20h54,20h57,21h00,21h03,21h05,21h08,21h11,21h14,21h17,21h20,21h23,21h26,21h29,21h32,21h35,21h37,21h40,21h43,21h46,21h49,21h52,21h55,21h59,22h04,22h10,22h13,22h20,22h25,22h30,22h35,22h40,22h45,22h49,22h54,22h59,23h04,23h09,23h14,23h19,23h24,23h29,23h34,23h38,23h43,23h48,23h53,23h58
Cordeliers;A;a;Hôtel de Ville L. Pradel;00h09,00h24,05h05,05h14,05h24,05h34,05h43,05h53,06h02,06h08,06h14,06h20,06h26,06h32,06h38,06h43,06h49,06h52,06h54,06h57,07h00,07h03,07h06,07h09,07h12,07h15,07h18,07h21,07h24,07h26,07h29,07h32,07h35,07h38,07h41,07h44,07h47,07h50,07h53,07h56,07h58,08h01,08h04,08h07,08h10,08h13,08h16,08h19,08h22,08h25,08h28,08h30,08h33,08h36,08h39,08h42,08h45,08h48,08h51,08h54,08h57,09h00,09h02,09h05,09h08,09h11,09h14,09h17,09h20,09h23,09h26,09h29,09h31,09h35,09h38,09h42,09h46,09h50,09h53,09h57,10h02,10h07,10h11,10h16,10h21,10h26,10h31,10h35,10h40,10h45,10h50,10h55,10h59,11h04,11h09,11h14,11h19,11h23,11h28,11h33,11h38,11h43,11h47,11h52,11h57,12h02,12h06,12h09,12h13,12h17,12h20,12h24,12h28,12h31,12h35,12h39,12h42,12h46,12h50,12h54,12h57,13h01,13h05,13h08,13h12,13h16,13h19,13h23,13h27,13h30,13h34,13h38,13h42,13h45,13h49,13h53,13h56,14h00,14h04,14h07,14h11,14h15,14h18,14h22,14h26,14h30,14h33,14h37,14h41,14h44,14h48,14h52,14h55,14h59,15h03,15h07,15h10,15h14,15h18,15h21,15h25,15h29,15h32,15h36,15h40,15h43,15h47,15h51,15h55,15h58,16h02,16h06,16h09,16h15,16h17,16h20,16h24,16h28,16h31,16h34,16h37,16h40,16h43,16h46,16h49,16h52,16h55,16h58,17h01,17h03,17h06,17h09,17h12,17h15,17h18,17h21,17h24,17h27,17h30,17h33,17h36,17h38,17h41,17h44,17h47,17h50,17h53,17h56,17h59,18h02,18h05,18h08,18h11,18h13,18h16,18h19,18h22,18h25,18h28,18h31,18h34,18h37,18h40,18h43,18h46,18h48,18h51,18h54,18h57,19h00,19h03,19h06,19h09,19h12,19h15,19h18,19h21,19h23,19h26,19h29,19h32,19h35,19h38,19h41,19h44,19h47,19h50,19h53,19h56,19h59,20h03,20h07,20h11,20h15,20h19,20h23,20h27,20h31,20h35,20h39,20h43,20h47,20h51,20h57,21h03,21h09,21h15,21h21,21h29,21h37,21h45,21h53,22h01,22h09,22h17,22h25,22h33,22h41,22h49,22h57,23h05,23h13,23h21,23h29,23h37,23h45,23h53
Cordeliers;A;r;Bellecour;00h26,04h50,05h02,05h11,05h21,05h30,05h40,05h50,05h56,06h02,06h08,06h14,06h20,06h25,06h30,06h36,06h41,06h47,06h50,06h53,06h56,06h59,07h02,07h05,07h08,07h11,07h13,07h16,07h19,07h22,07h25,07h28,07h31,07h34,07h37,07h40,07h43,07h45,07h48,07h51,07h54,07h57,08h00,08h03,08h06,08h09,08h12,08h15,08h17,08h20,08h23,08h26,08h29,08h32,08h35,08h38,08h41,08h44,08h47,08h49,08h52,08h55,08h58,09h01,09h04,09h07,09h10,09h13,09h16,09h18,09h22,09h26,09h30,09h33,09h37,09h41,09h44,09h49,09h54,09h59,10h04,10h08,10h13,10h18,10h23,10h28,10h32,10h37,10h42,10h47,10h52,10h56,11h01,11h06,11h11,11h16,11h20,11h25,11h30,11h35,11h40,11h44,11h49,11h53,11h57,12h00,12h04,12h08,12h11,12h15,12h19,12h22,12h26,12h30,12h33,12h37,12h41,12h45,12h48,12h52,12h56,12h59,13h03,13h07,13h10,13h14,13h18,13h21,13h25,13h29,13h33,13h36,13h40,13h44,13h47,13h51,13h55,13h58,14h02,14h06,14h10,14h13,14h17,14h21,14h24,14h28,14h32,14h35,14h39,14h43,14h46,14h50,14h54,14h58,15h01,15h05,15h09,15h12,15h16,15h20,15h23,15h27,15h31,15h34,15h38,15h42,15h46,15h49,15h53,15h57,16h00,16h04,16h08,16h11,16h15,16h18,16h21,16h24,16h27,16h30,16h33,16h36,16h39,16h42,16h45,16h47,16h50,16h53,16h56,16h59,17h02,17h05,17h08,17h11,17h14,17h17,17h20,17h22,17h25,17h28,17h31,17h34,17h37,17h40,17h43,17h46,17h49,17h52,17h55,17h57,18h00,18h03,18h06,18h09,18h12,18h15,18h18,18h21,18h24,18h27,18h30,18h32,18h35,18h38,18h41,18h44,18h47,18h50,18h53,18h56,18h59,19h02,19h05,19h07,19h10,19h13,19h16,19h19,19h22,19h25,19h28,19h31,19h34,19h37,19h40,19h42,19h45,19h48,19h51,19h54,19h57,20h00,20h03,20h07,20h11,20h15,20h19,20h23,20h27,20h31,20h35,20h39,20h45,20h51,20h57,21h03,21h09,21h17,21h25,21h33,21h41,21h49,21h57,22h05,22h13,22h21,22h29,22h37,22h45,22h53,23h01,23h09,23h17,23h25,23h33,23h41,23h49,23h57
Croix-Paquet;C;a;Hôtel de Ville L. Pradel;00h11,00h18,04h56,05h08,05h19,05h30,05h42,05h54,06h06,06h18,06h30,06h36,06h42,06h48,06h55,07h01,07h07,07h13,07h20,07h26,07h32,07h38,07h45,07h51,07h57,08h03,08h10,08h16,08h22,08h28,08h35,08h41,08h47,08h53,09h00,09h06,09h12,09h18,09h25,09h31,09h37,09h43,09h56,10h03,10h11,10h18,10h26,10h33,10h41,10h48,10h56,11h03,11h11,11h18,11h26,11h33,11h41,11h48,11h56,12h03,12h11,12h18,12h26,12h33,12h41,12h48,12h56,13h03,13h11,13h18,13h26,13h33,13h41,13h48,13h56,14h03,14h11,14h18,14h26,14h33,14h41,14h48,14h56,15h03,15h11,15h18,15h26,15h33,15h41,15h47,15h53,16h00,16h06,16h12,16h18,16h25,16h31,16h37,16h43,16h50,16h56,17h02,17h08,17h15,17h21,17h27,17h33,17h40,17h46,17h52,17h58,18h05,18h11,18h17,18h23,18h30,18h36,18h42,18h48,18h55,19h01,19h07,19h13,19h20,19h26,19h32,19h38,19h45,19h51,19h57,20h03,20h10,20h16,20h22,20h28,20h41,20h48,20h56,21h03,21h11,21h18,21h26,21h33,21h41,21h48,21h56,22h03,22h11,22h18,22h26,22h33,22h41,22h48,22h56,23h03,23h11,23h18,23h26,23h33,23h41,23h48,23h56
Croix-Paquet;C;r;Croix-Rousse;00h02,00h10,00h18,00h27,05h02,05h14,05h26,05h38,05h50,06h02,06h14,06h26,06h38,06h44,06h50,06h57,07h03,07h09,07h15,07h22,07h28,07h34,07h40,07h47,07h53,07h59,08h05,08h12,08h18,08h24,08h30,08h37,08h43,08h49,08h55,09h02,09h08,09h14,09h20,09h27,09h33,09h39,09h46,09h54,10h02,10h09,10h17,10h24,10h32,10h39,10h47,10h54,11h02,11h09,11h17,11h24,11h32,11h39,11h47,11h54,12h02,12h09,12h17,12h24,12h32,12h39,12h47,12h54,13h02,13h09,13h17,13h24,13h32,13h39,13h47,13h54,14h02,14h09,14h17,14h24,14h32,14h39,14h47,14h54,15h02,15h09,15h17,15h24,15h33,15h42,15h49,15h55,16h02,16h08,16h14,16h20,16h27,16h33,16h39,16h45,16h52,16h58,17h04,17h10,17h17,17h23,17h29,17h35,17h42,17h48,17h54,18h00,18h07,18h13,18h19,18h25,18h32,18h38,18h44,18h50,18h57,19h03,19h09,19h15,19h22,19h28,19h34,19h40,19h47,19h53,19h59,20h05,20h12,20h18,20h24,20h31,20h39,20h47,20h54,21h02,21h09,21h17,21h24,21h32,21h39,21h47,21h54,22h02,22h09,22h17,22h24,22h32,22h39,22h47,22h54,23h02,23h09,23h17,23h24,23h32,23h39,23h47,23h54
Croix-Rousse;C;a;Croix-Paquet;00h08,00h15,04h53,05h05,05h16,05h27,05h39,05h51,06h03,06h15,06h27,06h33,06h39,06h45,06h52,06h58,07h04,07h10,07h17,07h23,07h29,07h35,07h42,07h48,07h54,08h00,08h07,08h13,08h19,08h25,08h32,08h38,08h44,08h50,08h57,09h03,09h09,09h15,09h22,09h28,09h34,09h40,09h53,10h00,10h08,10h15,10h23,10h30,10h38,10h45,10h53,11h00,11h08,11h15,11h23,11h30,11h38,11h45,11h53,12h00,12h08,12h15,12h23,12h30,12h38,12h45,12h53,13h00,13h08,13h15,13h23,13h30,13h38,13h45,13h53,14h00,14h08,14h15,14h23,14h30,14h38,14h45,14h53,15h00,15h08,15h15,15h23,15h30,15h38,15h44,15h50,15h57,16h03,16h09,16h15,16h22,16h28,16h34,16h40,16h47,16h53,16h59,17h05,17h12,17h18,17h24,17h30,17h37,17h43,17h49,17h55,18h02,18h08,18h14,18h20,18h27,18h33,18h39,18h45,18h52,18h58,19h04,19h10,19h17,19h23,19h29,19h35,19h42,19h48,19h54,20h00,20h07,20h13,20h19,20h25,20h38,20h45,20h53,21h00,21h08,21h15,21h23,21h30,21h38,21h45,21h53,22h00,22h08,22h15,22h23,22h30,22h38,22h45,22h53,23h00,23h08,23h15,23h23,23h30,23h38,23h45,23h53
Croix-Rousse;C;r;Hénon;00h04,00h12,00h20,00h29,05h04,05h16,05h28,05h40,05h52,06h04,06h16,06h28,06h40,06h47,06h53,06h59,07h05,07h12,07h18,07h24,07h30,07h37,07h43,07h49,07h55,08h02,08h08,08h14,08h20,08h27,08h33,08h39,08h45,08h52,08h58,09h04,09h10,09h17,09h23,09h29,09h35,09h42,09h48,09h57,10h04,10h12,10h19,10h27,10h34,10h42,10h49,10h57,11h04,11h12,11h19,11h27,11h34,11h42,11h49,11h57,12h04,12h12,12h19,12h27,12h34,12h42,12h49,12h57,13h04,13h12,13h19,13h27,13h34,13h42,13h49,13h57,14h04,14h12,14h19,14h27,14h34,14h42,14h49,14h57,15h04,15h12,15h19,15h27,15h36,15h44,15h52,15h58,16h04,16h10,16h17,16h23,16h29,16h35,16h42,16h48,16h54,17h00,17h07,17h13,17h19,17h25,17h32,17h38,17h44,17h50,17h57,18h03,18h09,18h15,18h22,18h28,18h34,18h40,18h47,18h53,18h59,19h05,19h12,19h18,19h24,19h30,19h37,19h43,19h49,19h55,20h02,20h08,20h14,20h20,20h27,20h33,20h42,20h49,20h57,21h04,21h12,21h19,21h27,21h34,21h42,21h49,21h57,22h04,22h12,22h19,22h27,22h34,22h42,22h49,22h57,23h04,23h12,23h19,23h27,23h34,23h42,23h49,23h57
Cuire;C;a;Hénon;00h03,00h10,05h00,05h10,05h22,05h34,05h46,05h58,06h10,06h22,06h27,06h33,06h40,06h46,06h52,06h58,07h05,07h11,07h17,07h23,07h30,07h36,07h42,07h48,07h55,08h01,08h07,08h13,08h20,08h26,08h32,08h38,08h45,08h51,08h57,09h03,09h10,09h16,09h22,09h28,09h35,09h47,09h55,10h02,10h10,10h17,10h25,10h32,10h40,10h47,10h55,11h02,11h10,11h17,11h25,11h32,11h40,11h47,11h55,12h02,12h10,12h17,12h25,12h32,12h40,12h47,12h55,13h02,13h10,13h17,13h25,13h32,13h40,13h47,13h55,14h02,14h10,14h17,14h25,14h32,14h40,14h47,14h55,15h02,15h10,15h17,15h25,15h32,15h38,15h45,15h51,15h57,16h03,16h10,16h16,16h22,16h28,16h35,16h41,16h47,16h53,17h00,17h06,17h12,17h18,17h25,17h31,17h37,17h43,17h50,17h56,18h02,18h08,18h15,18h21,18h27,18h33,18h40,18h46,18h52,18h58,19h05,19h11,19h17,19h23,19h30,19h36,19h42,19h48,19h55,20h01,20h07,20h13,20h20,20h32,20h40,20h47,20h55,21h02,21h10,21h17,21h25,21h32,21h40,21h47,21h55,22h02,22h10,22h17,22h25,22h32,22h40,22h47,22h55,23h02,23h10,23h17,23h25,23h32,23h40,23h47,23h56
Cusset;A;a;Laurent Bonnevay - Astroballe;00h21,00h36,05h17,05h26,05h36,05h46,05h55,06h05,06h14,06h20,06h26,06h32,06h38,06h44,06h50,06h55,07h01,07h04,07h07,07h10,07h13,07h15,07h18,07h21,07h24,07h27,07h30,07h33,07h36,07h39,07h42,07h45,07h47,07h50,07h53,07h56,07h59,08h02,08h05,08h08,08h11,08h14,08h17,08h19,08h22,08h25,08h28,08h31,08h34,08h37,08h40,08h43,08h46,08h49,08h51,08h54,08h57,09h00,09h03,09h06,09h09,09h12,09h15,09h18,09h21,09h23,09h26,09h29,09h32,09h35,09h38,09h41,09h43,09h47,09h51,09h54,09h58,10h02,10h05,10h09,10h14,10h19,10h23,10h28,10h33,10h38,10h43,10h47,10h52,10h57,11h02,11h07,11h12,11h16,11h21,11h26,11h31,11h36,11h40,11h45,11h50,11h55,12h00,12h04,12h09,12h14,12h18,12h21,12h25,12h29,12h32,12h36,12h40,12h43,12h47,12h51,12h55,12h58,13h02,13h06,13h09,13h13,13h17,13h20,13h24,13h28,13h31,13h35,13h39,13h43,13h46,13h50,13h54,13h57,14h01,14h05,14h08,14h12,14h16,14h20,14h23,14h27,14h31,14h34,14h38,14h42,14h45,14h49,14h53,14h56,15h00,15h04,15h08,15h11,15h15,15h19,15h22,15h26,15h30,15h33,15h37,15h41,15h44,15h48,15h52,15h56,15h59,16h03,16h07,16h10,16h14,16h18,16h21,16h27,16h30,16h32,16h36,16h41,16h44,16h47,16h50,16h53,16h56,16h59,17h02,17h05,17h08,17h11,17h13,17h16,17h19,17h22,17h25,17h28,17h31,17h34,17h37,17h40,17h43,17h46,17h48,17h51,17h54,17h57,18h00,18h03,18h06,18h09,18h12,18h15,18h18,18h21,18h23,18h26,18h29,18h32,18h35,18h38,18h41,18h44,18h47,18h50,18h53,18h56,18h58,19h01,19h04,19h07,19h10,19h13,19h16,19h19,19h22,19h25,19h28,19h31,19h33,19h36,19h39,19h42,19h45,19h48,19h51,19h54,19h57,20h00,20h03,20h06,20h08,20h11,20h15,20h19,20h23,20h27,20h31,20h35,20h39,20h43,20h47,20h51,20h55,20h59,21h03,21h09,21h15,21h21,21h27,21h33,21h41,21h49,21h57,22h05,22h13,22h21,22h29,22h37,22h45,22h53,23h01,23h09,23h17,23h25,23h33,23h41,23h49,23h57
Cusset;A;r;Flachet - Alain Gilles;00h06,04h38,04h49,04h59,05h09,05h18,05h28,05h37,05h43,05h49,05h55,06h01,06h07,06h13,06h18,06h23,06h29,06h34,06h37,06h40,06h43,06h46,06h49,06h52,06h55,06h58,07h00,07h03,07h06,07h09,07h12,07h15,07h18,07h21,07h24,07h27,07h30,07h32,07h35,07h38,07h41,07h44,07h47,07h50,07h53,07h56,07h59,08h02,08h04,08h07,08h10,08h13,08h16,08h19,08h22,08h25,08h28,08h31,08h33,08h36,08h39,08h42,08h45,08h48,08h51,08h54,08h57,09h00,09h03,09h06,09h10,09h14,09h17,09h21,09h25,09h28,09h32,09h37,09h42,09h46,09h51,09h56,10h01,10h06,10h10,10h15,10h20,10h25,10h30,10h34,10h39,10h44,10h49,10h54,10h58,11h03,11h08,11h13,11h18,11h23,11h27,11h32,11h37,11h41,11h44,11h48,11h52,11h55,11h59,12h03,12h06,12h10,12h14,12h18,12h21,12h25,12h29,12h32,12h36,12h40,12h43,12h47,12h51,12h54,12h58,13h02,13h06,13h09,13h13,13h17,13h20,13h24,13h28,13h31,13h35,13h39,13h42,13h46,13h50,13h54,13h57,14h01,14h05,14h08,14h12,14h16,14h19,14h23,14h27,14h31,14h34,14h38,14h42,14h45,14h49,14h53,14h56,15h00,15h04,15h07,15h11,15h15,15h19,15h22,15h26,15h30,15h33,15h37,15h41,15h44,15h48,15h52,15h55,15h59,16h03,16h06,16h09,16h12,16h15,16h17,16h20,16h23,16h26,16h29,16h32,16h35,16h38,16h41,16h44,16h47,16h50,16h52,16h55,16h58,17h01,17h04,17h07,17h10,17h13,17h16,17h19,17h22,17h25,17h27,17h30,17h33,17h36,17h39,17h42,17h45,17h48,17h51,17h54,17h57,18h00,18h02,18h05,18h08,18h11,18h14,18h17,18h20,18h23,18h26,18h29,18h32,18h35,18h37,18h40,18h43,18h46,18h49,18h52,18h55,18h58,19h01,19h04,19h07,19h10,19h12,19h15,19h18,19h21,19h24,19h27,19h30,19h33,19h36,19h39,19h42,19h45,19h47,19h50,19h54,19h58,20h02,20h06,20h10,20h14,20h18,20h22,20h26,20h32,20h38,20h44,20h50,20h56,21h04,21h12,21h20,21h28,21h36,21h44,21h52,22h00,22h08,22h16,22h24,22h32,22h40,22h48,22h56,23h04,23h12,23h20,23h28,23h36,23h44,23h52
Debourg;B;a;Stade de Gerland Le LOU;00h16,00h20,00h25,00h30,05h02,05h06,05h11,05h16,05h21,05h26,05h31,05h36,05h41,05h46,05h50,05h56,05h59,06h05,06h08,06h11,06h15,06h18,06h21,06h24,06h27,06h30,06h33,06h36,06h40,06h43,06h46,06h49,06h52,06h55,06h59,07h02,07h05,07h09,07h11,07h15,07h17,07h21,07h25,07h27,07h31,07h33,07h37,07h41,07h43,07h45,07h47,07h49,07h51,07h53,07h55,07h57,07h59,08h01,08h03,08h06,08h08,08h10,08h12,08h14,08h16,08h18,08h20,08h22,08h24,08h26,08h28,08h30,08h32,08h34,08h36,08h38,08h40,08h42,08h44,08h46,08h48,08h50,08h52,08h54,08h56,08h58,09h00,09h02,09h04,09h06,09h09,09h11,09h13,09h15,09h17,09h19,09h21,09h23,09h25,09h27,09h29,09h31,09h33,09h35,09h37,09h39,09h41,09h43,09h45,09h47,09h49,09h51,09h54,09h57,09h59,10h02,10h05,10h08,10h10,10h13,10h16,10h19,10h22,10h24,10h27,10h30,10h32,10h35,10h38,10h41,10h43,10h46,10h49,10h51,10h54,10h57,11h00,11h02,11h05,11h08,11h10,11h13,11h16,11h19,11h21,11h24,11h27,11h29,11h32,11h35,11h38,11h40,11h43,11h46,11h48,11h51,11h54,11h57,11h59,12h02,12h05,12h07,12h10,12h13,12h16,12h18,12h21,12h24,12h26,12h29,12h32,12h35,12h37,12h40,12h43,12h45,12h48,12h51,12h54,12h56,12h59,13h02,13h04,13h07,13h10,13h13,13h15,13h18,13h21,13h23,13h26,13h29,13h32,13h34,13h37,13h40,13h42,13h45,13h48,13h51,13h53,13h56,13h59,14h01,14h04,14h07,14h10,14h12,14h15,14h18,14h20,14h23,14h26,14h29,14h31,14h34,14h37,14h39,14h42,14h45,14h48,14h50,14h53,14h56,14h58,15h01,15h04,15h07,15h09,15h12,15h15,15h18,15h20,15h23,15h26,15h28,15h31,15h34,15h36,15h40,15h42,15h44,15h48,15h50,15h54,15h56,16h00,16h02,16h04,16h08,16h10,16h12,16h14,16h16,16h18,16h21,16h23,16h25,16h27,16h29,16h31,16h33,16h35,16h37,16h39,16h41,16h43,16h45,16h47,16h49,16h51,16h53,16h55,16h57,16h59,17h01,17h03,17h05,17h07,17h09,17h11,17h13,17h15,17h17,17h19,17h21,17h24,17h26,17h28,17h30,17h32,17h34,17h36,17h38,17h40,17h42,17h44,17h46,17h48,17h50,17h52,17h54,17h56,17h58,18h00,18h02,18h04,18h06,18h08,18h10,18h12,18h14,18h16,18h18,18h20,18h22,18h25,18h27,18h29,18h31,18h33,18h35,18h37,18h39,18h41,18h43,18h45,18h47,18h49,18h51,18h53,18h55,18h57,18h59,19h01,19h03,19h05,19h07,19h09,19h11,19h13,19h15,19h17,19h19,19h21,19h23,19h25,19h28,19h30,19h32,19h34,19h36,19h38,19h40,19h42,19h44,19h46,19h48,19h50,19h52,19h54,19h56,19h58,20h00,20h02,20h04,20h06,20h08,20h10,20h12,20h14,20h16,20h18,20h20,20h22,20h24,20h26,20h28,20h31,20h33,20h37,20h39,20h42,20h45,20h48,20h51,20h54,20h57,21h00,21h03,21h06,21h09,21h12,21h15,21h18,21h20,21h23,21h26,21h29,21h32,21h35,21h38,21h41,21h44,21h47,21h50,21h52,21h55,21h58,22h01,22h04,22h07,22h11,22h16,22h22,22h26,22h32,22h36,22h41,22h46,22h51,22h56,23h01,23h06,23h11,23h16,23h20,23h25,23h30,23h35,23h40,23h45,23h50,23h55
Debourg;B;r;Place Jean Jaurès;00h12,04h58,05h02,05h07,05h12,05h17,05h22,05h27,05h32,05h37,05h42,05h47,05h51,05h57,06h44,06h47,06h49,06h51,06h53,06h55,06h57,06h59,08h01,08h03,08h05,08h07,08h09,08h11,08h13,08h15,08h17,08h19,08h21,08h23,08h25,08h27,08h29,08h31,08h33,08h35,08h37,08h39,08h41,08h43,08h45,08h47,08h50,08h52,08h54,08h56,08h58,09h00,09h02,09h04,09h06,09h08,09h10,09h12,09h14,09h16,09h18,09h20,09h22,09h24,09h26,09h28,09h32,09h34,09h36,09h40,09h42,09h44,09h49,09h51,09h53,09h56,09h59,10h01,10h04,10h07,10h11,10h14,10h16,10h19,10h22,10h25,10h27,10h30,10h33,10h35,10h38,10h41,10h44,10h46,10h49,10h52,10h54,10h57,11h00,11h03,11h05,11h08,11h11,11h13,11h16,11h19,11h22,11h24,11h27,11h30,11h32,11h35,11h38,11h41,11h43,11h46,11h49,11h51,11h54,11h57,12h00,12h02,12h05,12h08,12h11,12h13,12h16,12h19,12h21,12h24,12h27,12h30,12h32,12h35,12h38,12h40,12h43,12h46,12h49,12h51,12h54,12h57,12h59,13h02,13h05,13h08,13h10,13h13,13h16,13h18,13h21,13h24,13h27,13h29,13h32,13h35,13h37,13h40,13h43,13h46,13h48,13h51,13h54,13h56,13h59,14h02,14h05,14h07,14h10,14h13,14h15,14h18,14h21,14h24,14h26,14h29,14h32,14h34,14h37,14h40,14h43,14h45,14h48,14h51,14h53,14h56,14h59,15h02,15h04,15h07,15h10,15h12,15h15,15h18,15h21,15h23,15h26,15h29,15h31,15h35,15h37,15h40,15h43,15h45,15h48,15h49,15h51,15h53,15h55,15h57,15h59,16h02,16h04,16h06,16h08,16h10,16h12,16h14,16h16,16h18,16h20,16h22,16h24,16h26,16h28,16h30,16h32,16h34,16h36,16h38,16h40,16h42,16h44,16h46,16h48,16h50,16h52,16h54,16h56,16h58,17h00,17h02,17h05,17h07,17h09,17h11,17h13,17h15,17h17,17h19,17h21,17h23,17h25,17h27,17h29,17h31,17h33,17h35,17h37,17h39,17h41,17h43,17h45,17h47,17h49,17h51,17h53,17h55,17h57,17h59,18h01,18h03,18h06,18h08,18h10,18h12,18h14,18h16,18h18,18h20,18h22,18h24,18h26,18h28,18h30,18h32,18h34,18h36,18h38,18h40,18h42,18h44,18h46,18h48,18h50,18h52,18h54,18h56,18h58,19h00,19h02,19h04,19h06,19h09,19h11,19h13,19h15,19h17,19h19,19h21,19h23,19h25,19h27,19h29,19h31,19h33,19h35,19h37,19h39,19h41,19h43,19h45,19h47,19h49,19h51,19h53,19h55,19h57,19h59,20h01,20h03,20h05,20h07,20h12,20h14,20h18,20h20,20h24,20h27,20h30,20h32,20h35,20h37,20h40,20h43,20h46,20h51,20h53,20h56,20h59,21h02,21h05,21h08,21h11,21h14,21h17,21h20,21h23,21h25,21h28,21h31,21h34,21h37,21h40,21h43,21h46,21h52,21h57,22h00,22h07,22h11,22h17,22h20,22h26,22h32,22h37,22h42,22h47,22h52,22h57,23h02,23h07,23h12,23h16,23h21,23h26,23h31,23h36,23h41,23h46,23h51,23h56
